,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
aaronha01,3298,12364,1383,121,32,293,21,1402,3771,240,2297,755,624,98,4
aaronto01,437,944,145,6,0,3,9,86,216,9,94,13,42,6,1
abbated01,855,3044,16,0,33,0,93,289,772,142,324,11,99,43,2
abbeych01,451,1751,105,0,23,0,18,167,492,93,280,19,67,46,2
abbotfr01,160,513,0,0,8,0,20,19,107,14,49,1,21,6,0
abbotje01,233,596,91,7,3,2,5,38,157,6,83,18,33,2,0
abbotku01,702,2044,571,12,17,11,21,133,523,22,242,62,109,23,1
abernbr01,232,868,93,4,7,1,16,60,212,21,79,8,36,5,0
abnersh01,392,840,153,7,7,10,5,43,191,6,71,11,39,4,0
abramca01,567,1611,290,4,7,2,16,304,433,12,138,32,64,19,1
abreubo01,2425,8480,1840,85,33,115,7,1476,2470,400,1363,288,574,59,4
abreujo02,299,1169,271,5,26,26,0,90,354,3,208,66,69,5,1
abreuto01,224,579,116,8,5,2,1,22,147,2,60,6,39,6,0
abstebi01,170,619,0,0,4,0,29,29,150,21,76,1,22,10,0
ackledu01,607,2064,410,11,5,10,11,186,503,31,212,46,94,18,1
acostme01,180,436,46,0,4,0,19,63,111,17,37,0,9,7,0
adairje01,1165,4019,499,30,17,31,41,208,1022,29,366,57,163,19,2
adamsba01,482,1019,177,0,1,0,35,53,216,1,75,3,31,15,0
adamsbe01,267,678,79,0,1,0,23,23,137,9,45,2,17,4,0
adamsbo03,1281,4019,447,5,17,1,78,414,1082,67,303,37,188,49,3
adamsbu01,576,2003,281,0,13,0,42,234,532,12,249,50,96,12,1
adamsgl01,661,1617,183,19,4,8,9,111,452,6,225,34,79,5,1
adamsma01,337,1084,259,8,3,6,0,64,299,4,156,39,63,5,1
adamsru01,286,884,118,11,5,2,8,85,218,15,113,17,46,7,1
adamssp01,1424,5557,223,0,28,0,136,453,1588,154,394,9,249,48,4
adcocjo01,1959,6606,1059,35,17,55,52,594,1832,20,1122,336,295,35,4
addisbo01,208,534,47,0,0,0,5,37,150,8,47,2,22,2,0
addybo01,274,1231,7,0,0,0,0,19,341,30,172,1,35,12,1
agbaybe01,383,1091,246,8,15,7,1,139,299,16,156,39,57,6,1
ageeto01,1129,3912,918,15,34,26,21,342,999,167,433,130,170,27,3
agganha01,157,517,67,6,0,0,7,57,135,8,67,11,23,9,0
aglerjo01,234,751,130,0,1,0,21,131,185,38,36,0,22,10,1
agnewsa01,563,1537,216,0,25,0,47,102,314,29,98,2,41,14,1
aguaylu01,568,1104,220,12,20,12,14,94,260,7,109,37,43,10,1
ahmedni01,159,491,91,3,1,1,7,32,109,4,38,10,19,6,0
aikenwi01,774,2492,444,27,18,42,0,319,675,3,415,110,125,2,2
aingeda01,211,665,128,3,4,2,12,37,146,12,37,2,19,4,0
ainsmed01,1078,3048,315,0,12,0,99,263,707,86,317,22,108,54,1
akersbi01,174,475,64,0,1,0,14,63,124,7,69,11,17,9,0
albergu01,120,426,5,0,9,0,0,52,84,27,50,1,10,6,0
aldremi01,930,2147,381,18,5,29,14,314,565,19,271,41,104,9,1
aldrivi01,248,581,41,0,0,0,32,10,133,2,60,2,14,4,0
alexada01,662,2450,197,0,6,0,32,248,811,20,459,61,164,30,2
alexaga01,432,1276,381,19,5,12,4,154,293,8,202,55,45,11,1
alexama02,594,1271,276,4,7,7,19,86,293,37,115,15,50,12,1
alexape01,703,1810,276,0,2,0,88,77,378,3,163,11,60,13,1
alexawa01,162,405,83,0,4,0,16,42,76,5,24,1,18,3,0
alfoned01,1506,5385,617,55,41,22,31,596,1532,53,744,146,282,18,4
alfonel01,193,591,158,3,9,9,4,17,142,1,67,17,24,3,0
alicelu01,1341,3971,624,45,48,25,49,500,1031,81,422,47,189,53,3
allanan01,512,1486,223,16,9,4,35,87,357,23,140,16,48,4,1
allenbe01,1139,3404,424,17,8,52,24,370,815,13,351,73,140,21,2
allenbo01,606,2211,209,0,13,0,3,297,532,53,306,14,77,44,2
allench01,267,851,173,5,4,2,5,63,229,15,84,14,44,8,1
allendi01,1749,6332,1556,53,16,138,19,894,1848,133,1119,351,320,79,4
allenet01,1281,4418,310,0,14,0,110,223,1325,84,501,47,255,45,3
allenga01,416,1061,192,11,5,3,15,130,235,3,131,19,49,2,1
allenha02,389,881,128,4,2,5,2,49,212,15,57,6,27,9,1
allenje01,342,1031,228,10,24,1,21,104,268,42,114,15,49,8,1
allenjo02,365,716,155,0,0,0,36,33,124,1,64,4,12,3,0
allenmy01,156,606,3,0,6,0,0,45,157,30,88,4,28,14,0
allenni01,216,500,73,0,6,0,10,33,116,8,36,0,13,5,0
alleyge01,1195,3927,622,22,27,62,56,300,999,63,342,55,140,44,2
alliega01,121,418,84,3,2,0,3,56,83,1,30,3,8,6,0
allisar01,168,740,18,0,0,0,0,5,188,10,70,1,19,8,1
allisbo01,1541,5032,1033,35,34,30,25,795,1281,84,796,256,216,53,4
allisdo01,318,1407,40,0,0,0,0,22,381,5,140,2,43,10,1
almadme01,646,2483,150,0,5,0,35,214,706,56,197,15,107,27,2
almonab01,166,508,133,5,1,0,7,39,124,12,48,10,26,6,0
almonbi01,1236,3330,636,29,6,24,44,250,846,128,296,36,138,25,2
alomaro01,2379,9073,1140,97,50,62,148,1032,2724,474,1134,210,504,80,4
alomasa01,1481,4760,482,18,3,17,77,302,1168,227,282,13,126,19,3
alomasa02,1377,4530,499,34,41,15,48,212,1236,25,588,112,249,10,3
alonsyo01,508,1621,263,17,9,18,1,163,443,17,183,32,93,2,1
aloufe01,2082,7339,706,56,57,67,33,423,2101,107,852,206,359,49,4
alouje01,1380,4345,267,20,30,32,44,138,1216,31,377,32,170,26,2
alouma01,1667,5789,377,29,36,38,55,311,1777,156,427,31,236,50,4
aloumo01,1942,7037,894,82,48,91,9,737,2134,106,1287,332,421,39,4
alperwh01,450,1632,0,0,39,0,57,30,387,27,141,7,60,36,1
altizda01,514,1734,5,0,33,0,84,140,433,119,116,4,36,21,1
altmage01,991,3091,572,21,20,38,19,268,832,52,403,101,132,34,2
altroni01,230,550,0,0,11,0,15,29,97,5,27,2,9,1,0
altuvjo01,668,2721,308,24,24,20,17,146,830,169,226,36,162,14,2
alusige01,298,652,103,4,4,3,4,73,167,1,93,23,31,2,0
alvarlu01,463,1160,160,5,3,10,14,49,248,11,84,5,43,4,1
alvarpe01,742,2500,809,13,11,30,1,259,590,14,401,131,108,6,2
alvisma01,1013,3629,662,22,35,25,36,262,895,43,373,111,142,22,2
alvorbi01,265,1069,83,0,1,0,0,44,270,27,109,3,31,30,1
alyeabr01,371,866,210,10,6,7,0,100,214,5,148,38,33,2,1
amalfjo01,643,1715,224,8,12,9,17,185,418,19,123,9,67,19,1
amarari01,727,1788,277,13,16,1,29,176,493,112,159,11,82,10,2
amarial01,541,1442,231,14,4,11,21,94,328,29,139,18,55,16,1
amaroru01,940,2155,280,12,10,24,47,227,505,11,156,8,75,13,1
amaroru02,485,927,128,8,16,2,11,88,218,15,100,16,43,9,0
amblewa01,271,782,64,0,0,0,25,83,175,4,73,0,39,2,0
amesre01,533,1014,204,0,0,0,47,61,143,5,63,3,10,7,0
amezaal01,584,1408,223,8,14,7,28,112,348,49,110,12,47,19,1
amorosa01,517,1311,189,7,11,16,18,211,334,18,180,43,55,23,1
anderbr01,1834,6499,1190,50,154,59,74,960,1661,315,761,210,338,67,4
anderbr03,355,799,208,4,8,2,7,65,181,13,80,22,47,1,1
anderda02,873,2026,331,13,5,17,37,206,490,49,143,19,73,12,1
anderga01,2228,8640,1224,87,8,104,13,429,2529,80,1365,287,522,36,4
anderge01,269,1007,111,0,15,0,19,98,289,36,69,5,40,17,1
andergo01,127,413,0,0,6,0,11,80,85,27,12,1,3,1,0
anderha02,484,1586,291,15,16,32,9,159,419,3,242,60,82,16,1
anderji01,419,970,130,6,5,2,29,81,211,9,86,13,35,2,1
anderjo01,1635,6341,55,0,53,0,64,310,1841,338,976,49,328,124,4
anderjo03,179,486,82,1,4,2,2,26,132,36,47,4,17,5,0
anderma02,1151,3204,471,31,15,28,31,227,849,71,371,63,174,20,2
andermi01,721,1490,343,13,4,25,7,161,367,8,134,28,67,11,1
andersp01,152,477,53,2,1,1,5,42,104,6,34,0,9,3,0
andinro01,468,1320,309,7,6,2,21,113,306,24,96,18,58,1,1
andreed01,774,3233,245,0,9,0,0,194,830,205,278,12,117,26,3
andremi01,893,3116,390,23,16,12,72,458,803,18,316,66,140,4,2
andrero01,493,1454,121,12,0,6,27,148,365,33,91,3,30,15,1
andresh01,569,1704,515,19,7,17,3,191,375,7,263,86,76,4,1
andruel01,1074,4119,614,29,30,2,95,361,1113,217,367,27,176,30,3
andujjo01,407,607,315,1,0,0,51,30,77,7,38,5,12,2,0
ankieri01,653,1921,555,12,12,13,8,162,462,21,251,76,101,10,1
ansonca01,2523,10277,302,0,32,0,27,983,3418,276,2076,97,581,142,4
anthoer01,682,1999,491,19,5,22,3,217,462,24,269,78,81,8,1
antonjo01,135,528,29,0,2,0,6,24,133,1,29,1,28,2,0
antonjo02,403,679,175,3,1,0,35,26,121,1,59,15,12,3,0
aokino01,531,1963,169,9,36,2,24,171,563,81,156,24,91,16,1
aparilu01,2601,10230,742,76,27,22,161,736,2677,506,791,83,394,92,4
applilu01,2422,8856,528,0,11,0,74,1302,2749,179,1116,45,440,102,4
archeji01,847,2646,241,0,19,0,93,124,660,36,296,16,106,34,1
archige01,121,421,47,0,1,0,2,37,115,10,53,3,24,4,0
arciajo01,293,615,107,0,9,1,9,29,132,17,35,1,24,6,0
arciaos01,219,781,259,2,12,8,0,58,190,2,108,36,33,5,0
ardnejo01,110,415,64,0,2,0,0,18,88,9,39,0,14,2,0
ardoida01,165,423,124,2,13,4,8,42,87,2,35,8,17,1,0
arenano01,401,1534,240,18,9,15,3,82,431,6,243,70,106,10,1
arencjp01,467,1573,484,11,17,4,1,85,333,2,245,80,67,4,1
arftha01,300,906,133,0,2,0,11,137,229,8,118,13,46,13,1
ariasal01,775,1773,211,16,23,14,17,181,470,10,196,18,84,6,1
ariasge01,173,480,121,0,2,2,6,25,114,2,55,14,18,2,0
ariasjo01,474,1052,150,9,8,7,12,37,279,13,95,7,46,11,1
arletbu01,121,418,39,0,5,0,1,45,131,3,72,18,26,7,0
armasto01,1432,5164,1201,52,15,37,11,260,1302,18,815,251,204,39,3
arndtha01,271,985,0,0,7,0,18,85,244,27,99,6,26,20,1
arnolch01,273,435,76,4,1,5,1,42,103,1,51,4,12,5,0
arnovmo01,590,2013,139,0,10,0,21,185,577,17,261,22,104,12,1
arroybr01,421,603,266,3,1,0,82,14,77,1,29,6,16,0,0
ascheco01,300,984,256,3,5,10,3,74,242,2,107,27,55,4,1
ashburi01,2189,8365,571,18,43,25,112,1198,2574,234,586,29,317,109,4
ashbyal01,1370,4123,622,41,11,66,55,461,1010,7,513,90,183,13,2
ashbyan01,313,521,218,1,0,0,83,16,70,1,26,1,13,0,0
ashfotu01,222,510,75,6,1,6,5,47,111,5,55,6,31,1,0
ashlebi01,281,618,236,3,4,5,0,63,144,0,84,28,23,1,0
asprobo01,1324,4369,459,32,29,52,36,333,1103,19,457,60,135,26,2
asproke01,475,1483,149,10,6,4,13,179,369,7,124,19,69,3,1
asselbr01,284,574,74,9,3,6,5,38,146,5,68,12,27,4,0
astacpe01,395,676,256,0,5,0,89,5,90,0,28,0,7,1,0
astrojo01,544,1579,124,1,14,6,20,177,401,6,156,13,51,10,1
atkinga01,817,2928,449,34,20,12,0,291,835,8,488,99,169,7,2
atwelto01,378,1117,84,7,8,10,11,161,290,4,110,9,41,7,1
atwoobi01,342,961,89,0,3,0,13,93,220,4,112,7,41,4,0
atzja01,209,605,0,0,6,0,33,69,132,23,49,0,21,3,0
auerbri01,624,1407,198,5,6,10,22,127,309,36,86,9,56,5,1
aukerel01,356,700,232,0,2,0,41,41,131,2,72,6,15,9,0
aultdo01,256,713,108,4,7,6,5,71,168,4,86,17,29,5,0
aurilri01,1652,5721,861,47,24,22,36,450,1576,23,756,186,301,22,4
ausmubr01,1971,6279,1034,37,69,69,82,634,1579,102,607,80,270,34,4
austiji01,1580,5388,363,0,44,0,278,592,1328,244,390,13,174,76,3
avenbr01,259,609,135,6,11,1,0,57,166,6,103,20,33,2,0
averiea01,1668,6353,518,0,33,0,55,774,2019,70,1164,238,401,128,4
averiea02,449,1031,220,11,8,8,5,162,249,3,159,44,41,0,1
averyst01,306,437,135,5,0,0,41,12,76,1,32,4,14,4,0
avilaal01,683,2084,653,16,11,12,9,325,504,7,282,66,111,7,1
avilabo01,1300,4620,399,14,14,3,134,561,1296,78,467,80,185,35,4
avilemi01,810,2756,382,30,12,4,32,126,731,76,292,58,132,12,2
ayalabe01,425,865,136,12,2,7,1,71,217,2,145,38,42,1,1
aybarer01,1220,4427,543,33,42,10,69,226,1223,141,417,48,222,43,3
aybarwi01,405,1219,206,8,14,6,7,142,315,7,157,33,68,2,1
ayersdo01,299,420,72,0,1,0,17,13,72,1,23,0,10,2,0
azcuejo01,909,2828,344,32,17,45,11,207,712,5,304,50,94,9,1
azocaos01,202,439,36,3,2,2,4,12,99,10,36,5,16,0,0
babbch01,347,1180,0,0,45,0,26,125,287,66,116,0,41,13,1
backmwa01,1102,3245,480,19,5,9,68,371,893,117,240,10,138,19,2
baergca01,1630,5439,580,66,73,41,26,291,1583,59,774,134,279,17,4
bagbyji01,325,660,91,0,2,0,30,32,144,3,60,2,35,6,0
bagbyji02,322,620,68,0,3,0,32,8,140,1,56,3,16,2,0
bagweje01,2150,7797,1558,102,128,155,3,1401,2314,202,1529,449,488,32,4
bahnsst01,575,479,225,1,1,0,43,19,56,0,19,1,8,2,0
bailebo01,1931,6082,1126,52,17,67,40,852,1564,85,773,189,234,43,4
baileed01,1212,3581,577,37,25,77,20,545,915,17,540,155,128,15,2
bailege01,213,634,61,0,7,0,23,63,156,13,52,2,16,7,0
bailema01,340,949,222,5,3,23,3,166,209,2,101,24,37,1,1
bailobo01,955,2937,164,20,20,10,42,187,775,90,222,9,107,23,2
baineha01,2830,9908,1441,99,14,187,9,1062,2866,34,1628,384,488,49,4
bairddo01,617,2106,295,0,12,0,78,157,492,118,191,6,86,45,1
bakelje01,222,727,86,0,3,0,0,83,111,2,33,2,12,4,0
bakerbi01,263,588,30,0,3,0,5,68,145,6,68,2,25,5,0
bakerdu01,2039,7117,926,85,30,52,27,762,1981,137,1013,242,320,23,4
bakerfl01,874,2280,165,0,6,0,26,382,573,23,196,1,76,13,1
bakerfr01,1575,5984,182,0,50,0,153,473,1838,235,987,96,315,103,4
bakerge01,126,474,29,0,0,0,0,14,74,0,5,0,6,0,0
bakerge02,630,2230,219,18,9,9,50,184,590,21,227,39,109,21,1
bakerje03,748,1793,472,16,9,6,1,139,474,14,235,54,108,15,1
bakerjo01,359,1076,269,7,10,15,8,127,266,2,120,14,57,1,1
bakerph01,195,817,32,0,0,0,0,39,212,16,34,3,20,11,1
bakopa01,789,2202,589,13,7,36,16,233,508,4,195,24,98,11,1
balbost01,960,3120,856,27,19,21,1,273,714,1,495,181,127,11,2
baldero01,519,1910,388,15,31,8,7,102,531,60,262,60,99,18,1
baldwki01,441,1677,38,0,13,0,0,36,371,40,178,7,56,27,1
baldwla01,134,494,77,0,1,0,0,40,114,7,55,0,16,7,0
baldwma01,348,1155,368,0,1,0,0,82,188,18,106,10,21,18,1
balenwl01,170,511,149,4,0,2,0,44,113,2,52,15,31,1,0
ballne01,501,1609,13,0,4,0,60,99,404,92,151,4,56,17,1
bancrda01,1913,7182,487,0,23,0,212,827,2004,145,591,32,320,77,4
bandoch01,498,1284,197,16,2,6,27,138,292,1,142,27,46,2,1
bandosa01,2019,7060,923,57,75,69,65,1031,1790,75,1039,242,289,38,4
banksbr01,273,495,129,5,2,6,5,62,122,8,64,13,19,3,0
bankser01,2528,9421,1236,96,70,198,45,763,2583,50,1636,512,407,90,4
bannial01,972,3007,318,28,13,13,33,292,811,108,288,19,143,28,2
bannoji01,366,1433,101,0,11,0,20,152,459,99,253,19,76,24,1
barajro01,1114,3460,638,39,46,31,28,207,812,2,480,136,187,1,2
barbawa01,500,1777,121,0,6,0,83,88,462,37,156,1,52,21,1
barbebr01,479,1434,268,11,32,10,18,164,388,16,133,16,73,6,1
barbeja01,199,712,3,0,11,0,18,78,160,39,46,0,25,8,0
barbest01,466,563,320,1,2,0,45,38,65,0,27,5,5,2,0
barbetu01,491,1531,112,0,12,0,53,115,442,28,185,2,47,21,1
barclge01,401,1538,0,0,18,0,25,62,382,61,140,4,35,15,1
bardjo01,586,1778,299,13,3,12,11,175,452,1,220,39,109,3,1
barfije01,1428,4759,1234,34,34,49,16,551,1219,66,716,241,216,30,4
barfijo02,309,1012,188,9,5,7,5,44,267,35,112,16,53,6,1
bargecy01,193,428,55,0,1,0,9,16,97,3,31,0,8,5,0
barklsa01,582,2329,44,0,12,0,0,176,602,51,231,10,125,39,2
barloto01,126,607,4,0,0,0,0,7,174,19,34,1,5,3,1
barmecl01,1186,3805,734,26,60,32,60,216,932,43,415,89,208,17,2
barnaba01,207,664,98,0,0,0,3,76,154,9,96,12,22,9,0
barnebr02,417,1053,323,3,12,3,14,62,257,21,92,19,50,7,1
barneda01,581,1921,237,13,21,10,18,115,472,20,157,21,90,13,1
barneje01,435,913,72,0,1,0,41,24,195,2,69,1,11,5,0
barnere01,286,836,76,0,5,0,16,95,225,12,97,8,41,24,1
barnero01,499,2392,65,0,0,0,0,114,859,73,350,6,144,44,3
barnesk01,353,614,74,8,4,3,8,41,159,20,83,14,30,4,0
barnhcl01,814,2673,149,0,7,0,103,265,788,35,436,27,121,61,2
barrbo01,179,633,26,0,6,0,0,31,117,1,17,4,14,6,0
barrebi02,718,2395,239,0,8,0,81,209,690,80,328,23,151,30,2
barrebo01,239,650,61,0,1,0,22,32,169,6,86,10,23,5,0
barreji01,866,3306,0,0,29,0,60,440,962,143,255,16,83,47,3
barrejo01,588,1811,201,0,8,0,24,265,454,69,220,23,82,32,2
barrema02,941,3378,209,33,16,7,102,304,938,57,314,18,163,9,2
barremi01,1054,3512,480,32,28,38,22,279,925,11,424,98,220,21,2
barrji01,481,513,129,1,4,0,68,15,83,2,31,1,15,2,0
barryja01,1223,4146,142,0,76,0,284,396,1009,153,429,10,142,38,3
barrysh01,1100,4014,0,0,37,0,135,279,1073,140,391,10,128,47,3
bartedi01,2016,7629,627,0,97,0,269,748,2165,109,710,79,442,71,4
barteki01,243,416,141,2,3,1,16,36,90,36,33,4,12,5,0
bartlja01,892,3141,526,26,48,8,31,275,849,123,286,31,156,26,2
bartobo01,393,1049,168,6,5,18,6,87,237,3,66,9,31,3,0
bartoda02,551,1744,348,18,14,10,19,290,431,13,184,30,94,11,1
basgamo01,200,512,51,0,2,0,7,46,110,1,41,4,15,3,0
basined01,203,602,70,0,6,0,21,35,147,1,59,4,19,7,0
bassech01,917,3493,312,0,27,0,0,239,806,116,402,15,114,49,2
basske01,1571,4839,668,30,37,63,28,357,1308,151,611,118,248,40,3
bassljo01,811,2319,81,0,10,0,92,437,704,13,318,1,99,16,1
bastich01,504,1806,308,0,15,0,0,179,342,57,144,11,49,26,1
batchem01,348,1253,0,0,3,0,40,65,315,37,98,7,38,22,1
batemjo01,1017,3330,610,31,27,69,25,172,765,10,375,81,123,18,1
batesja01,319,677,152,1,7,6,3,88,162,5,69,12,38,5,0
batesjo02,1154,3913,190,0,49,0,132,503,1087,187,417,25,167,73,3
batesra01,154,515,48,0,7,0,15,24,120,15,70,2,20,9,0
batiski01,251,658,120,7,2,5,3,14,154,4,64,10,23,1,0
batisto01,1309,4568,790,47,47,27,10,287,1146,47,718,221,226,17,3
batteea01,1141,3586,470,30,28,42,39,421,969,13,449,104,150,17,2
battijo01,480,1953,36,0,1,0,0,40,439,26,143,3,51,25,1
battsma01,546,1605,163,5,3,0,16,143,432,6,220,26,95,11,1
bauerha01,1544,5145,638,25,34,11,51,521,1424,50,703,164,229,57,4
baumapa01,299,904,76,0,9,0,31,81,248,30,101,4,30,13,1
baumhfr01,1019,3477,258,10,17,2,45,258,1010,30,272,25,165,51,2
bautida01,895,2517,409,17,15,12,20,149,685,37,319,62,121,19,2
bautijo02,1403,4716,1010,46,63,52,23,794,1212,58,793,286,243,16,4
baxtemi01,232,417,100,4,13,5,0,55,95,10,28,4,23,4,0
bayha01,675,2640,0,0,18,0,107,195,722,169,141,5,65,42,2
bayja01,1278,4505,1216,54,56,38,7,636,1200,95,754,222,240,30,4
baylodo01,2292,8198,1069,115,267,91,16,805,2135,285,1276,338,366,28,4
bealsto01,123,539,11,0,0,0,0,8,131,4,66,0,15,16,1
beanbi01,272,478,84,8,4,2,4,25,108,3,53,5,20,2,0
beardol01,331,1307,61,0,4,0,0,112,353,73,173,4,34,34,1
beardte01,194,474,107,0,3,2,7,78,94,16,35,6,11,6,0
beaucji01,393,661,150,12,3,6,0,54,153,6,90,14,18,4,0
beaumgi01,1463,5660,14,0,30,0,166,425,1759,254,617,39,182,82,4
bechtge01,221,1041,12,0,0,0,0,21,288,17,165,3,48,11,1
beckcl01,468,1525,180,0,5,0,44,184,354,9,162,12,56,11,1
beckebe01,876,2764,231,0,5,0,81,241,763,129,292,45,114,43,2
beckegl01,1320,5208,243,27,19,3,58,260,1473,49,360,22,196,31,3
becker01,232,912,0,0,2,0,9,30,265,12,123,9,42,11,1
beckeri01,789,2227,616,12,12,4,19,350,570,66,243,45,100,12,2
beckfr02,635,2130,193,0,27,0,49,122,536,31,251,33,78,27,1
beckhgo01,865,2874,537,26,46,5,27,222,696,29,304,69,157,4,2
becklja01,2386,9526,270,0,183,0,145,616,2930,315,1575,86,473,243,4
beckzi01,290,902,95,0,8,0,29,58,204,21,73,3,32,16,0
becquju01,488,974,120,5,3,11,6,41,238,8,114,12,37,16,1
beebefr01,205,457,22,0,0,0,16,8,72,1,30,0,7,6,0
beeched01,283,1190,48,0,15,0,0,71,325,49,177,7,52,17,1
bejmaol01,316,906,105,0,5,0,23,130,222,5,117,14,35,11,1
belanma01,2016,5784,839,45,42,22,155,576,1316,167,389,20,175,33,3
belarwa01,263,592,97,4,14,1,4,66,143,1,74,28,13,5,0
bellbe01,767,2718,239,0,7,0,26,272,806,11,437,46,165,32,2
bellbu01,2405,8995,776,80,38,84,60,836,2514,55,1106,201,425,56,4
bellda01,1403,4826,687,50,44,25,32,428,1239,19,589,123,267,18,3
bellde01,1210,4578,955,46,61,30,6,377,1262,170,668,134,232,15,3
belleal01,1539,5853,961,78,55,91,4,683,1726,88,1239,381,389,21,4
bellga01,521,569,152,3,3,0,61,25,105,1,41,1,13,2,0
bellge02,1587,6123,771,83,49,53,0,331,1702,67,1002,265,308,34,4
bellgu01,1741,6478,636,53,27,27,45,470,1823,30,942,206,311,66,4
bellhma01,731,2107,723,11,17,6,10,346,484,30,246,69,113,13,2
bellira01,1154,2301,384,6,23,26,58,136,508,43,142,2,55,14,1
belliro01,1484,5045,797,37,24,16,47,488,1377,43,601,114,328,24,3
bellja01,2063,7398,1443,58,57,25,159,853,1963,91,860,195,394,67,4
bellju01,329,836,189,7,3,5,10,84,177,16,71,10,30,6,1
bellke01,297,726,165,7,2,1,13,70,161,5,64,13,22,9,0
bellle01,896,3239,322,0,2,0,110,276,938,25,509,66,184,49,2
beltbr01,556,1813,499,12,17,14,1,200,492,32,236,63,113,16,1
beltrad01,2567,9712,1518,86,81,102,14,727,2767,118,1467,413,560,35,4
beltrca01,2306,8749,1592,100,46,97,18,1016,2454,311,1443,392,503,78,4
beltres01,186,401,73,3,0,0,11,28,95,5,35,1,17,0,0
bemisha01,704,2229,0,0,36,0,61,79,569,49,234,5,92,29,1
benarma01,891,2630,454,10,25,7,15,265,714,105,260,54,138,21,2
benavfr01,219,534,91,3,3,7,6,20,135,4,52,4,26,5,0
benchjo01,2158,7658,1278,90,19,135,11,891,2048,68,1376,389,381,24,4
bendech01,507,1147,48,0,10,0,42,75,243,20,116,6,40,10,1
benedbr01,982,2878,251,21,13,52,49,328,696,12,260,18,98,6,1
benesan01,405,741,307,4,6,0,95,34,106,0,50,8,21,0,0
bengera01,353,659,69,0,0,0,34,13,124,0,38,0,12,0,0
bengobe01,411,1125,45,0,2,0,17,62,287,2,108,0,46,12,0
beniqju01,1500,4651,551,32,31,11,87,349,1274,104,476,79,190,30,3
benitya01,169,448,106,1,5,1,2,25,109,4,60,19,16,3,0
benjami01,817,1926,429,10,25,19,57,106,442,44,169,24,109,15,1
benjast01,241,770,115,0,1,0,14,32,176,23,41,5,32,11,0
bennech01,1062,3821,572,0,11,0,0,478,978,42,533,55,203,67,3
bennega01,587,1690,270,17,16,19,14,139,408,6,192,22,74,3,1
bennehe01,312,877,65,0,9,0,24,58,242,13,104,7,41,13,1
bennepu01,240,919,0,0,9,0,30,77,228,27,55,1,24,9,0
bentlja01,287,584,39,0,0,0,11,21,170,0,71,7,30,8,0
bentoal01,455,512,200,0,1,0,59,7,50,0,14,0,7,0,0
bentola01,462,738,181,0,4,0,52,30,122,1,42,2,12,2,0
bentoru01,437,825,188,0,2,0,38,22,142,4,60,1,19,4,0
benzito01,924,2856,552,34,14,35,21,181,733,21,376,66,135,18,2
benzjo01,251,441,112,0,1,0,27,5,61,1,17,0,8,2,0
berarjo01,912,3028,268,0,13,0,32,284,755,27,387,36,167,23,2
berbelo01,448,1224,195,16,7,20,2,200,281,2,153,31,34,10,1
bergaau01,174,496,44,0,1,0,14,78,151,0,63,5,23,5,0
bergda01,582,1600,308,17,16,2,15,133,430,8,163,21,91,6,1
bergebi01,947,3028,81,0,0,0,112,88,516,23,193,2,45,21,1
bergebo01,343,1144,226,0,3,0,25,94,270,12,97,13,51,8,1
bergema01,344,1278,22,0,10,0,15,52,339,24,176,10,44,15,1
bergepe01,308,1103,252,2,5,2,27,119,249,31,56,8,41,13,1
bergetu01,173,622,42,0,11,0,0,54,150,18,57,1,22,6,0
bergewa01,1350,5163,694,0,38,0,27,435,1550,36,898,242,299,59,4
berghma01,285,774,91,0,16,0,27,103,180,46,52,1,16,7,1
bergmda01,1349,2679,347,27,7,36,21,380,690,19,289,54,100,16,2
bergmo01,663,1813,117,0,9,0,61,78,441,11,206,6,71,6,1
berkmla01,1879,6491,1300,54,66,160,1,1201,1905,86,1234,366,422,30,4
bernaro01,548,1323,315,7,18,6,11,121,312,59,121,28,56,8,1
bernato01,1071,3700,606,35,17,22,63,428,970,113,391,75,177,30,3
bernhbi01,232,718,0,0,1,0,8,28,129,3,51,0,18,4,0
bernhju01,154,492,40,4,3,1,8,14,117,3,43,9,19,2,0
berrada01,853,2553,422,27,12,57,33,210,603,32,278,49,109,9,1
berrayo01,2120,7555,414,44,52,49,9,704,2150,30,1430,358,321,49,4
berrera01,561,1330,134,0,3,0,30,76,287,4,78,3,37,3,0
berroan01,746,2575,460,15,54,13,46,117,665,50,254,46,118,21,2
berroge01,779,2506,510,26,17,10,0,276,692,19,382,101,113,9,2
berrych02,709,2018,196,0,5,0,34,160,539,13,256,23,88,29,1
berrycl01,245,753,92,0,2,0,30,60,165,14,65,3,31,10,0
berryda01,683,2030,409,23,6,23,10,139,488,3,257,47,106,6,1
berryke01,1384,4136,569,17,30,31,64,298,1053,45,343,58,150,23,2
berryne01,442,1087,105,0,3,0,27,113,265,11,74,0,28,9,1
berryse01,860,2413,438,29,32,19,11,206,657,47,369,81,153,10,2
bertedi01,444,1310,188,11,3,27,17,106,327,2,112,10,34,9,0
bertore01,612,1745,252,23,16,11,31,142,425,16,171,27,60,10,1
beschbo01,1228,4536,451,0,48,0,74,619,1171,428,345,28,190,74,4
betanyu01,1156,4052,435,39,10,10,34,143,1057,30,457,80,218,29,2
betemwi01,805,2093,612,19,4,18,8,211,558,9,283,75,126,8,1
